cod_munic,ano,cod_uf,nome_uf,pib,state.x,popdens,poprural,prefeito,govpt,poptot.y,ruralpc,hdi.2010.100,hdi.2000.100,pref.pt,organ,op,esq
3122306,2009,31,Minas Gerais,2819794.35,10,296.7188,5545.3,PSDB,0,210111,0.02639224,7.64,8.31,0,368,0,0.34412955465587
3127701,2005,31,Minas Gerais,2022974.49,10,109.0412,10711,PSDB,0,255410,0.04193649,7.27,7.72,0,418,0,275
3127701,2009,31,Minas Gerais,2845813.94,10,111.8688,10453.4,PT,0,262033,0.03989345,7.27,7.72,1,499,1,0.43298969072165
3129806,2005,31,Minas Gerais,659457.36,10,2011754,537.5,PL,0,145999,0.003681532,7.04,7.29,0,90,0,0.528301886792453
3129806,2009,31,Minas Gerais,1070732.06,10,2154562,400.3,DEM,0,156363,0.002560069,7.04,7.29,0,122,0,0.315217391304348
3131307,2005,31,Minas Gerais,4474365.64,10,1370551,2045.5,PMDB,0,225982,0.009051606,7.71,8.06,0,322,1,0.195138419986496
3131307,2009,31,Minas Gerais,5659343.96,10,1435985,2401.1,PPS,0,236771,0.01014102,7.71,8.06,0,404,1,0.430597014925373
3131703,2009,31,Minas Gerais,3415339.89,10,86.65283,7580.4,PR,0,108637,0.06977733,7.56,7.98,0,245,0,0.786885245901639
3136702,2005,31,Minas Gerais,5223341.37,10,338.8629,4839.5,PTB,0,486522,0.009947135,7.78,8.28,0,1122,0,0.057581573896353
3136702,2009,31,Minas Gerais,7423137.79,10,355.4256,5675.9,PSDB,0,510302,0.01112263,7.78,8.28,0,1192,0,0.358858858858859
3143302,2005,31,Minas Gerais,2602857.27,10,93.70595,17622,PPS,0,334431,0.05269248,7.7,7.83,0,533,1,0.358974358974359
3143302,2009,31,Minas Gerais,3815101.23,10,99.8666,17508.4,PMDB,0,356418,0.04912322,7.7,7.83,0,560,0,0.052863436123348
3147907,2005,31,Minas Gerais,880560.34,10,76.04311,6376.5,PDT,0,101751,0.06266769,7.56,7.97,0,137,0,0.30188679245283
3147907,2009,31,Minas Gerais,1185068.17,10,78.75672,5637.7,PMDB,0,105382,0.05349775,7.56,7.97,0,139,0,0.680672268907563
3148004,2009,31,Minas Gerais,1734815.96,10,43.01535,11142.2,DEM,0,137227,0.08119539,7.65,8.13,0,255,1,0.662721893491124
3151800,2005,31,Minas Gerais,2595787.03,10,263.2814,4260,PFL,0,144031,0.02957697,7.79,8.41,0,221,0,0.4625
3151800,2009,31,Minas Gerais,2818455.75,10,275.5707,3827.2,PPS,0,150754,0.02538705,7.79,8.41,0,255,0,0.914572864321608
3152501,2005,31,Minas Gerais,1452863.14,10,218.5656,10022,PL,0,118696,0.08443418,7.74,8.26,0,192,0,0.258426966292135
3152501,2009,31,Minas Gerais,2563770.61,10,236.1233,10823.6,PT,0,128231,0.08440705,7.74,8.26,1,187,1,0.510460251046025
3154606,2005,31,Minas Gerais,827633.66,10,1747025,1804,PSB,0,271582,0.006642561,6.84,7.49,0,177,1,0.241379310344828
3154606,2009,31,Minas Gerais,1712842.54,10,1874317,2091.2,PSB,0,291370,0.007177129,6.84,7.49,0,232,0,0.408517350157729
3156700,2005,31,Minas Gerais,711444.1,10,399.4822,2920,PSB,0,120811,0.02416999,7.31,7.73,0,143,0,0.341772151898734
3156700,2009,31,Minas Gerais,1005070.63,10,413.9191,3129.6,PV,0,125177,0.0250014,7.31,7.73,0,196,0,0.314893617021277
3157807,2005,31,Minas Gerais,1182800.45,10,824.9375,631.5,PFL,0,193923,0.003256447,7.15,7.54,0,190,0,0.068627450980392
3157807,2009,31,Minas Gerais,1786026.14,10,855.6297,580.7,PMDB,0,201138,0.002887073,7.15,7.54,0,312,0,0.109215017064846
3167202,2005,31,Minas Gerais,2747579.84,10,371.7772,4645,PMDB,0,199512,0.02328181,7.6,7.91,0,220,0,0.355140186915888
3167202,2009,31,Minas Gerais,4105511.9,10,393.6017,5092.2,PSDB,0,211224,0.02410806,7.6,7.91,0,255,1,612
3168606,2005,31,Minas Gerais,740009.92,10,40.73843,25642,PT,0,132085,0.1941326,7.01,7.42,1,224,1,0.693333333333333
3168606,2009,31,Minas Gerais,1154886.19,10,41.39476,24866,PT,0,134213,0.1852727,7.01,7.42,1,226,1,0.845771144278607
3170107,2005,31,Minas Gerais,4105596.14,10,60.57087,7240.5,PL,0,274020,0.02642325,7.72,8.34,0,456,0,0.297709923664122
3170107,2009,31,Minas Gerais,6489508.61,10,64.45552,6728.9,PMDB,0,291594,0.02307626,7.72,8.34,0,464,0,0.597189695550351
3170206,2005,31,Minas Gerais,9196837.54,10,134.2859,14481.5,PP,0,552614,0.02620545,7.89,8.3,0,741,1,0.511820330969267
3170206,2009,31,Minas Gerais,16165949.54,10,144.2778,16281.1,PP,0,593733,0.02742158,7.89,8.3,0,859,0,0.184466019417476
3170701,2005,31,Minas Gerais,2096445.56,10,293.4779,4429,PT,0,116040,0.03816787,7.78,8.24,1,192,1,0.414285714285714
3170701,2009,31,Minas Gerais,3046304.01,10,307.7244,4105.8,PT,0,121673,0.03374454,7.78,8.24,1,195,0,0.624413145539906
3201209,2005,32,Espírito Santo,1706196.07,7,207.6843,17885,PMDB,0,182384,0.09806233,7.46,7.7,0,274,0,0.192513368983957
3201209,2009,32,Espírito Santo,2399003.13,7,214.5212,16610.6,PT,0,188388,0.08817228,7.46,7.7,1,381,1,0.297520661157025
3201308,2005,32,Espírito Santo,2345343.1,7,1202434,11197.5,PT,0,336512,0.03327519,7.18,7.5,1,405,1,0.299528301886792
3201308,2009,32,Espírito Santo,3854045.29,7,1237384,11111.5,PT,0,346293,0.03208699,7.18,7.5,1,459,1,0.319760479041916
3201506,2005,32,Espírito Santo,1070946.38,7,79.22761,17402.5,PSB,0,112250,0.1550334,7.46,7.73,0,220,0,0.365994236311239
3201506,2009,32,Espírito Santo,1724502.27,7,78.96646,14194.1,PT,0,111880,0.126869,7.46,7.73,1,225,0,0.280916030534351
3202405,2005,32,Espírito Santo,600933.88,7,163.6373,5285,PHS,0,96843,0.05457287,7.31,7.89,0,144,1,0.416666666666667
3202405,2009,32,Espírito Santo,924333.04,7,175.0496,4864.2,PPS,0,103597,0.0469531,7.31,7.89,0,189,0,0.764705882352941
3203205,2005,32,Espírito Santo,1401570.32,7,36.23203,19720,PTB,0,126962,0.1553221,7.24,7.57,0,121,0,0.051020408163265
3203205,2009,32,Espírito Santo,2314608.29,7,39.50673,19736,PMDB,0,138437,0.142563,7.24,7.57,0,152,0,0.158798283261803
3205002,2005,32,Espírito Santo,7185220.31,7,666.9089,2192,PDT,0,365224,0.006001796,7.39,7.61,0,389,1,0.169757489300999
3205002,2009,32,Espírito Santo,11531826.35,7,731.2472,2697.6,PDT,0,400458,0.006736287,7.39,7.61,0,547,1,0.254150702426565
3205200,2005,32,Espírito Santo,3611561.13,7,1811.14,1685.5,PDT,0,380276,0.004432307,8,8.17,0,505,0,0.228658536585366
3205200,2009,32,Espírito Santo,6041447.24,7,1941867,1961.9,PR,0,407724,0.004811834,8,8.17,0,543,0,0.446215139442231
